sex,age,child,religious,education,occupation,nbaffairs
male,37,yes,4,20,6,0
male,27,no,3,18,5,0
female,22,no,2,16,6,0
male,32,yes,2,20,6,0
female,27,no,4,18,5,0
female,27,yes,2,12,5,0
male,32,yes,5,18,6,0
female,37,yes,2,17,5,0
male,47,no,4,20,6,0
male,27,no,1,18,5,0
male,37,yes,4,20,6,0
female,32,yes,4,18,1,0
female,32,yes,4,17,5,0
female,42,yes,3,14,1,0
female,27,yes,3,16,1,0
male,27,no,3,16,4,0
male,22,no,3,16,3,0
male,27,yes,3,16,4,0
female,27,yes,3,12,1,0
female,37,yes,2,18,5,0
female,37,yes,3,14,4,0
male,22,no,2,16,5,0
male,37,yes,5,20,5,0
female,22,no,4,16,5,0
female,32,yes,4,16,1,0
male,27,no,2,17,5,0
female,22,no,4,14,5,0
female,27,no,2,18,5,0
male,37,yes,4,18,5,0
male,37,yes,5,20,7,0
female,27,yes,2,14,4,0
male,32,yes,2,16,5,0
male,32,yes,2,16,6,0
male,22,no,3,18,4,0
female,22,yes,4,14,3,0
female,17.5,no,2,18,5,0
male,32,yes,4,20,4,0
female,32,no,5,14,3,0
male,37,yes,4,17,5,0
male,32,no,3,14,4,0
female,27,no,2,17,3,0
female,22,yes,4,14,1,0
male,47,yes,5,14,6,0
male,27,yes,1,16,4,0
female,37,yes,5,14,1,0
male,42,yes,4,18,5,0
female,32,yes,2,14,1,0
male,52,yes,2,14,7,0
female,22,no,2,16,1,0
male,52,yes,4,12,2,0
female,22,no,3,17,1,0
female,22,no,2,16,5,0
male,27,yes,4,20,6,0
female,32,yes,4,14,1,0
female,27,no,2,16,3,0
male,32,no,1,20,6,0
male,37,yes,3,20,6,0
female,32,no,2,16,6,0
female,32,yes,5,14,5,0
male,37,yes,4,18,5,0
male,32,no,2,18,4,0
female,32,yes,4,14,1,0
female,47,yes,4,18,5,0
female,27,yes,5,12,1,0
male,27,yes,3,16,4,0
female,37,yes,4,12,4,0
female,27,no,4,16,5,0
female,37,yes,4,16,1,0
female,32,yes,3,16,1,0
female,27,yes,2,16,1,0
male,27,no,2,20,6,0
female,37,yes,2,14,1,0
male,27,yes,2,17,4,0
female,22,yes,2,14,1,0
male,22,yes,4,14,2,0
male,42,no,4,17,6,0
male,27,yes,4,18,6,0
male,27,yes,3,16,6,0
female,52,yes,4,14,1,0
male,27,no,5,20,5,0
female,27,no,2,16,5,0
female,27,no,3,17,5,0
male,22,no,5,16,4,0
female,27,yes,4,16,1,0
female,27,yes,4,12,1,0
female,47,yes,2,14,5,0
female,32,yes,3,14,5,0
male,42,yes,2,16,5,0
male,22,no,4,16,6,0
male,27,no,3,20,6,0
male,32,yes,3,20,6,0
female,22,no,5,14,4,0
female,47,yes,5,14,1,0
female,32,yes,3,14,1,0
male,57,yes,4,17,5,0
male,27,yes,3,20,6,0
female,32,yes,4,17,1,0
female,37,yes,4,16,1,0
female,32,yes,1,18,1,0
female,22,no,3,14,1,0
female,27,yes,4,14,3,0
male,57,yes,5,18,5,0
male,32,yes,2,18,5,0
female,27,no,4,17,1,0
male,22,no,4,14,5,0
female,22,yes,4,14,5,0
female,32,yes,3,16,1,0
female,47,yes,3,16,5,0
female,22,no,3,16,1,0
female,22,yes,2,14,5,0
female,27,yes,1,16,5,0
male,52,yes,4,16,5,0
male,32,yes,4,20,6,0
male,47,yes,4,16,6,0
female,27,yes,2,14,1,0
female,22,no,4,14,4,0
female,32,yes,2,16,5,0
female,22,no,2,16,5,0
female,22,no,2,16,5,0
female,42,yes,3,18,6,0
female,27,yes,5,14,4,0
male,42,yes,4,16,4,0
female,57,yes,3,18,5,0
male,42,yes,3,18,6,0
female,32,yes,2,14,1,0
male,22,no,5,12,4,0
female,22,no,1,16,6,0
female,22,no,1,14,4,0
female,32,yes,4,12,1,0
male,22,no,2,18,5,0
male,27,yes,5,17,2,0
female,27,yes,4,12,1,0
male,42,yes,5,18,5,0
male,32,no,2,20,7,0
male,57,no,4,9,3,0
male,37,no,4,18,5,0
male,52,yes,2,17,5,0
male,47,yes,4,17,6,0
female,27,no,2,17,5,0
female,27,yes,4,14,5,0
female,22,no,2,14,3,0
male,37,yes,2,20,6,0
male,27,no,4,12,4,0
male,42,yes,4,18,6,0
female,22,no,3,14,1,0
female,22,yes,2,14,1,0
female,57,no,4,20,6,0
male,37,yes,4,14,4,0
female,27,yes,3,18,5,0
female,17.5,no,4,14,4,0
male,22,yes,4,16,5,0
female,27,yes,2,16,1,0
female,37,yes,2,14,5,0
female,22,no,5,14,1,0
male,27,yes,2,20,5,0
male,27,yes,4,14,5,0
male,22,no,1,16,3,0
female,27,yes,4,14,1,0
female,32,yes,5,16,5,0
male,32,yes,4,18,5,0
female,32,yes,2,14,3,0
female,22,no,3,17,5,0
male,27,yes,4,17,4,0
female,52,yes,5,14,1,0
female,27,yes,2,12,1,0
female,27,yes,3,12,1,0
female,42,yes,2,14,1,0
female,42,yes,4,14,5,0
male,27,yes,4,14,3,0
male,27,yes,2,20,6,0
female,42,yes,3,12,3,0
male,27,yes,3,16,3,0
female,27,yes,3,14,1,0
female,22,no,2,14,4,0
female,27,yes,4,14,1,0
female,22,no,4,14,5,0
female,22,no,2,16,4,0
male,47,no,4,14,5,0
male,37,yes,2,18,6,0
male,37,yes,3,17,5,0
female,27,yes,2,16,1,0
male,27,no,3,18,4,3
female,27,yes,3,17,1,3
male,37,yes,5,18,6,7
female,32,yes,3,17,5,12
male,22,no,4,16,5,1
female,22,yes,2,14,1,1
male,37,yes,4,14,5,12
female,22,no,2,14,3,7
male,37,yes,2,18,6,2
female,32,yes,4,12,3,3
female,37,yes,4,14,4,1
female,42,yes,3,17,1,7
female,42,yes,5,9,4,12
male,37,yes,2,20,6,12
female,32,yes,3,14,1,12
male,27,no,1,18,6,3
male,37,yes,2,18,7,7
female,27,no,3,17,5,7
male,42,yes,4,16,5,1
female,47,yes,5,14,4,1
female,27,yes,3,18,5,7
female,27,yes,5,14,1,1
male,27,yes,3,17,5,12
female,27,yes,4,14,6,12
female,42,yes,4,16,5,3
female,27,yes,4,12,7,7
male,27,no,2,18,5,1
male,32,no,4,20,6,1
female,27,yes,3,14,1,1
female,32,yes,4,14,1,3
male,27,yes,2,18,7,3
female,17.5,no,5,14,4,1
female,32,yes,4,18,1,1
female,32,yes,2,17,6,7
male,37,yes,2,20,6,7
female,37,no,1,20,5,7
female,32,yes,2,16,5,12
male,52,yes,2,20,6,7
female,42,yes,1,12,1,7
male,52,yes,2,20,6,1
male,37,yes,3,18,6,2
female,22,no,3,12,3,12
male,27,yes,1,18,6,12
male,27,yes,3,18,5,1
male,47,yes,4,17,6,12
female,42,yes,4,12,1,12
male,27,no,3,14,3,7
female,32,yes,4,18,4,7
male,32,yes,3,12,3,1
male,47,yes,5,16,5,3
male,37,yes,2,20,5,12
male,22,yes,2,17,6,7
male,27,no,2,14,4,1
female,52,yes,5,16,1,7
male,27,no,3,14,3,1
female,27,yes,4,16,1,1
male,32,yes,3,14,7,1
male,32,yes,2,18,4,7
male,22,no,1,14,3,3
male,22,yes,3,18,6,7
male,42,yes,4,20,6,7
female,57,yes,1,18,5,2
female,32,yes,3,18,5,7
male,27,yes,1,16,4,1
male,32,yes,4,16,1,7
male,57,yes,1,17,4,2
female,42,yes,4,14,5,7
male,37,yes,1,18,5,7
male,42,yes,3,17,6,3
female,52,yes,3,14,4,1
female,27,yes,3,17,5,2
male,32,yes,2,12,4,12
male,22,no,4,14,2,1
male,27,yes,3,18,6,3
female,37,yes,1,18,5,12
female,32,yes,3,17,1,7
female,27,no,2,17,5,7
female,32,yes,3,17,5,1
male,32,yes,2,14,2,1
female,42,yes,4,14,1,12
male,32,yes,3,14,5,7
male,37,yes,1,20,6,7
female,27,yes,2,16,5,1
female,42,yes,3,14,4,12
male,27,yes,5,20,6,1
male,37,yes,2,20,6,12
female,27,yes,1,14,3,12
female,27,yes,4,12,1,3
male,32,yes,2,14,4,3
female,17.5,yes,2,12,1,12
female,32,yes,3,18,5,12
female,22,no,4,14,4,2
male,32,yes,4,20,6,1
male,27,yes,2,18,6,7
female,22,yes,5,14,5,1
female,32,no,3,17,5,12
female,42,yes,2,12,1,12
male,42,yes,3,20,5,7
male,32,no,2,18,4,12
female,32,yes,3,9,1,12
male,57,yes,5,20,4,7
male,47,yes,4,20,6,12
female,42,yes,2,17,6,2
male,37,yes,3,17,6,12
male,37,yes,5,17,5,12
male,27,yes,2,20,6,7
male,37,yes,2,16,5,2
female,32,yes,1,14,5,12
male,32,yes,3,17,6,7
male,37,yes,4,18,5,2
female,27,no,2,17,5,7
female,47,yes,2,17,5,3
male,37,yes,2,17,5,12
female,27,no,2,14,5,12
female,27,yes,4,14,1,2
female,22,yes,3,16,1,1
male,52,no,4,16,5,12
female,27,yes,1,16,3,2
female,37,yes,2,17,6,7
female,27,no,1,17,3,2
female,17.5,yes,2,12,3,12
female,32,yes,5,18,5,7
female,22,no,1,16,3,7
male,32,yes,4,18,6,2
female,22,yes,3,18,5,1
female,42,yes,2,17,5,3
male,32,yes,4,16,4,1
male,37,no,3,14,6,12
male,42,yes,3,16,6,1
male,27,yes,1,18,5,1
male,37,yes,4,20,7,2
male,37,yes,3,20,6,7
male,22,no,2,12,3,3
male,32,yes,3,20,6,3
male,32,yes,5,20,6,2
female,52,yes,1,18,5,12
male,47,no,1,18,6,12
female,32,yes,4,16,4,3
female,32,yes,3,14,3,7
female,27,yes,4,16,1,7
male,42,yes,3,18,6,12
female,42,yes,2,14,3,7
male,27,yes,2,17,5,12
male,32,yes,4,14,4,3
male,47,yes,3,16,4,7
male,22,yes,1,12,2,1
female,32,yes,2,18,5,7
male,32,yes,2,17,6,2
male,22,yes,3,18,6,2
female,32,yes,3,14,1,1
